id,title,main_story,main_plus_extras,completionist,all_styles,coop,versus,type,developers,publishers,platforms,genres,release_na,release_eu,release_jp
3350,Fallout: Brotherhood of Steel,8.0,12.5,,10.0,,,,Interplay,Interplay,"PlayStation 2, Xbox","Action, Role-playing",2004-01-14,2004-04-02,2005-04-28
3351,Fallout: New Vegas,27.5,60.5,132.0,57.5,,,,Obsidian Entertainment,"Bethesda Softworks, Namco Bandai Games","PC, PlayStation 3, Xbox 360, Xbox One","First-Person, Third-Person, Action, Open World, Role-Playing, Shooter",2010-10-19,2010-10-22,
3352,Fallout: New Vegas - Dead Money DLC,5.5,7.0,8.0,6.5,,,DLC/Expansion,Obsidian Entertainment,"Bethesda Softworks, Namco Bandai Games","PC, PlayStation 3, Xbox 360","First-Person, Third-Person, Action, Role-Playing, Shooter",2010-12-21,2010-12-21,
3353,Fallout: New Vegas - Honest Hearts DLC,3.5,5.0,5.5,5.0,,,DLC/Expansion,Obsidian Entertainment,Bethesda Softworks,"PC, PlayStation 3, Xbox 360","First-Person, Third-Person, Action, Open World, Role-Playing, Shooter",2011-05-17,2011-05-17,
3354,Fallout: New Vegas - Lonesome Road DLC,3.5,5.5,6.5,5.5,,,DLC/Expansion,Obsidian Entertainment,Bethesda Softworks,"PC, PlayStation 3, Xbox 360","First-Person, Third-Person, Action, Role-Playing, Shooter",2011-09-20,2011-09-20,
3355,Fallout: New Vegas - Old World Blues DLC,6.5,8.5,11.0,8.5,,,DLC/Expansion,Obsidian Entertainment,Bethesda Softworks,"PC, PlayStation 3, Xbox 360, Xbox One","First-Person, Third-Person, Action, Open World, Role-Playing, Shooter",2011-07-19,,
3356,Fallout: New Vegas - Ultimate Edition,38.5,83.0,162.0,90.0,,,,Obsidian Entertainment,Bethesda Softworks,"PC, PlayStation 3, Xbox 360, Xbox One","Action, Role-Playing",2012-02-07,,
3357,Famicom Detective Club Part II: The Girl who Stands Behind,7.0,,,7.0,,,,"Tose, Ninendo",Ninendo,Super Nintendo,Adventure,,,1989-05-23
3358,Family Card Games,0.5,,,0.5,,,,Arc System Works,Aksys Games,Wii,Party,2009-11-11,2010-08-13,2009-06-02
3359,Family Feud,0.45,,,0.45,,,,Krome Studios Melbourne,GameTek,Super Nintendo,Trivia,1991-05-01,,
3360,Family Guy Video Game!,6.0,,,6.0,,,,High Voltage Software,"2K Games, Fox Interactive","PlayStation 2, PSP, Xbox","Action, Adventure",2006-10-16,2006-12-01,
3361,Family Guy: Back to the Multiverse,5.5,8.0,14.0,6.5,,,,Heavy Iron Studios,Activision,"PC, PlayStation 3, Xbox 360","Action, Adventure",2012-11-20,2012-11-23,
3362,Fancy Pants Adventures,,2.0,,2.0,,,,"Brad Borne, Over the Top Games (Console)","Armor Games (Flash), EA 2D (Console)","PlayStation 3, Xbox 360",Platformer,2006-03-14,2006-03-14,
